Meal_Id,Name,catagory,description,Veg_Non,Nutrient,Disease,Diet,Price
meal_id1,Lentils soup,soup,"lentils,carrots,oniondiced tomatoes,Salt and pepper to taste",veg,fiber, obesity diabeties hypertension goitre, alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet,485
meal_id2,Mixed Vegetable and Chicken Stir-Fry,salad,"1 cup quino,aboneless chicken breast, cut into strips,1 cup spinach,1 cup mushrooms, sliced,Lemon juice",non-veg,fiber, anemia pregnancy hypertension rickets goitre kidney_disease obesity, low_fat_diet low_carb_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,600
meal_id3,Vegetable Curry with Moringa Leaves,curry,"1 cup chopped moringa leaves,1 cup diced carrots,1 cup diced carrots,1 cup diced tomatoes,1 cup chopped spinach,Fresh coriander for garnish",veg,vitamin_a, hypertension scurvy heart_disease goitre kidney_disease pregnancy, alkaline_diet low_fat_diet paleo_diet Mediterranean_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet,255
meal_id4,Fiberlicious Masoor Dal Tadka,curry,"Masoor dal (red lentils),Tomatoes,Onions,Garlic,Ginger,Fresh cilantro (coriander leaves),Salt to taste,Garam masala",veg,fiber, obesity goitre hypertension, low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet,615
meal_id5,Protein-Rich Palak Paneer,Paneer,"Spinach (Palak),Paneer,Tomatoes,Onions,Garlic,Green chilies,Oil,Salt,Spices",veg,vitamin_a, goitre kidney_disease, high_protien_diet,465
meal_id6,Tofu Palak Bhurji,leafy,"Tofu (high protein, vegan),Spinach (rich in calcium),Tomatoes,Onions,Garlic,Olive oil,Coriander powder",veg,calcium, goitre, high_protien_diet vegan_diet low_fat_diet ketogenic_diet,630
meal_id7,Lentil Spinach Soup,soup,"Lentils,Spinach,Garlic,Ginger,Turmeric,Cumin seeds,Coriander powder,Olive oil",veg,magnesium, hypertension heart_disease, high_protien_diet high_fiber_diet ketogenic_diet,475
meal_id8,Alkaline Chicken Curry,gravy,"Chicken (lean cuts),Coconut milk (low sodium),Turmeric,Ginger,Bell peppers,Tomatoes",non-veg,sodium, pregnancy scurvy goitre kidney_disease obesity, alkaline_diet,340
meal_id9,Green Protein Power Bowl,leafy,"Spinach ,Paneer,Olive Oil,Garlic and Ginger,Lemon Juice",veg,calcium, obesity cancer hypertension, alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet,290
meal_id10,Veggie Citrus Delight,curry,"Mixed vegetables ,Citrus fruits,Olive oil,Garlic",veg,vitamin_c, pregnancy hypertension scurvy obesity diabeties, alkaline_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet dash_diet,515
meal_id11,Quinoa and Chickpea Salad Bowl,salad,"Quinoa,Chickpeas,Mixed vegetables ,Spinach,Salt and pepper to taste",veg,fiber, pregnancy hypertension scurvy goitre obesity, alkaline_diet low_fat_diet paleo_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet dash_diet,540
meal_id12,Power Masala Chicken,gravy,"Chicken breast,Assorted vegetables,Olive oil ,Lemon juice,Low-sodium chicken ,Fresh herbs like cilantro or parsley",non-veg,protien, diabeties goitre scurvy, low_fat_diet gluten_free_diet high_fiber_diet high_protien_diet dash_diet,310
meal_id13,Power Pulao,rice,"Basmati Rice (fiber-rich),Lentils (high protein),Assorted Vegetables,Nuts and Seeds,Spices for flavor and additional health benefits",veg,magnesium, scurvy, high_protien_diet high_fiber_diet,475
